Country,Description,Founded,Index,Industry,Name,Number of employees,Organization Id,Website
bolivia,fundamental asynchronous capability,2010.0,36.0,human resources / hr,pineda-cox,1312.0,4d4d7e18321eaec,http://aguilar.org/
kenya,cross-group user-facing focus group,2013.0,37.0,legislative office,"baker, mccann and macdonald",1638.0,485f5d06b938f2b,http://www.anderson-barker.com/
guatemala,extended human-resource intranet,1994.0,38.0,music,cuevas-moss,9995.0,19e3a5bf6dbdc4f,https://dodson-castaneda.net/
belarus,organic logistical leverage,2012.0,39.0,electrical / electronic manufacturing,hahn plc,3715.0,6883a965c7b68f7,http://newman.com/
jersey,centralized secondary time-frame,1997.0,40.0,non - profit / volunteering,"valentine, ferguson and kramer",3585.0,ac5b7aa74aa4a2e,http://stuart.net/
grenada,managed demand-driven website,2006.0,41.0,writing / editing,arroyo inc,9067.0,decab0d5027ca6a,https://www.turner.com/
cape verde,self-enabling fresh-thinking installation,1989.0,42.0,investment management / hedge fund / private equity,walls llc,1678.0,df084fbbb613eea,http://www.reese-vasquez.biz/
trinidad and tobago,enhanced intangible time-frame,2021.0,43.0,capital markets / hedge fund / private equity,"mitchell, warren and schneider",3816.0,a2d89ab9bccad4e,https://fox.biz/
sweden,profit-focused coherent installation,2016.0,44.0,individual / family services,prince plc,7645.0,77adc905434a49f,https://www.watts.com/
benin,secured foreground emulation,1986.0,45.0,online publishing,brock-blackwell,7034.0,235fdefe2cfda5f,http://www.small.com/
western sahara,right-sized clear-thinking flexibility,2001.0,46.0,luxury goods / jewelry,walton-barnett,1746.0,1ed64cfe986bbbe,https://ashley-schaefer.com/
northern mariana islands,realigned didactic function,1976.0,47.0,civic / social organization,bartlett-arroyo,3987.0,cbbbfcdd0eae2cf,https://cruz.com/
germany,persistent real-time customer loyalty,2016.0,48.0,pharmaceuticals,"wallace, madden and morris",9443.0,49aecbdae6abd53,http://www.blevins-fernandez.biz/
canada,stand-alone static implementation,1974.0,49.0,arts / crafts,berg-sparks,2073.0,7b3fe6e7e72bfa4,https://cisneros-love.com/
tonga,managed human-resource policy,1988.0,50.0,consumer goods,gonzales ltd,9069.0,c6deda82a8aef7e,http://bird.com/
french southern territories,compatible analyzing intranet,2021.0,51.0,arts / crafts,lawson and sons,3527.0,7d9fbf85cdc3871,https://www.wong.com/
korea,profound client-server frame,1988.0,52.0,printing,"mcguire, mcconnell and olsen",8445.0,7dd18fb7cb07b65,https://melton-briggs.com/
cote d'ivoire,monitored client-server implementation,2012.0,53.0,mental health care,charles-phillips,3450.0,ef5b55fadccb8fe,https://bowman.com/
cote d'ivoire,advanced static process improvement,2012.0,54.0,management consulting,odom ltd,1825.0,f8d4b99e11faf5d,https://www.humphrey-hess.com/
mayotte,object-based optimizing model,1971.0,55.0,broadcast media,richard plc,4942.0,e24d21bfd3bf1e5,https://holden-coleman.net/
cayman islands,intuitive local adapter,2005.0,56.0,farming,sampson ltd,1418.0,b9bdfeb6d3ca44e,https://blevins.com/
nigeria,universal human-resource collaboration,2017.0,57.0,entertainment / movie production,"cherry, le and callahan",7202.0,2a74d6f3d3b268e,https://waller-delacruz.biz/
marshall islands,persistent tertiary website,1980.0,58.0,plastics,cherry plc,8245.0,bf3f3f62c8abc33,https://www.avila.info/
palau,user-friendly clear-thinking productivity,2021.0,59.0,legislative office,melton-nichols,8741.0,aebe26b80a7a23c,https://kennedy.com/
turkey,optional non-volatile open system,2008.0,60.0,human resources / hr,potter-walsh,6923.0,aaeb29ad43886c6,http://thomas-french.org/
timor-leste,phased next generation adapter,1973.0,61.0,international trade / development,freeman-chen,346.0,bd1bc6bb6d1fed3,https://mathis.com/
vietnam,enterprise-wide executive installation,1988.0,62.0,business supplies / equipment,soto group,9097.0,eb9f456e8b7022a,https://norris.info/
reunion,balanced analyzing groupware,1978.0,63.0,marketing / advertising / sales,"poole, cruz and whitney",2992.0,dfef38c51d8dae3,https://reed.info/
brazil,optional exuding superstructure,1986.0,64.0,textiles,riley ltd,9315.0,055ffefb2dd95b0,http://wiley.com/
eritrea,vision-oriented secondary project,2014.0,65.0,consumer electronics,"erickson, andrews and bailey",7829.0,cbfe4dbae1699da,https://www.hobbs-grant.com/
united states virgin islands,assimilated 24/7 archive,1996.0,66.0,building materials,"wilkinson, charles and arroyo",602.0,fdfbecbadcdcdf1,http://hunter-mcfarland.com/
falkland islands (malvinas),function-based fault-tolerant concept,2017.0,67.0,public relations / pr,floyd ltd,2911.0,5dcb8a5a5ca03c0,http://www.whitney.com/
luxembourg,enhanced foreground collaboration,1987.0,68.0,information technology / it,newman-galloway,3934.0,ce57dcbcfd6d618,https://www.scott.com/
northern mariana islands,persistent interactive circuit,1972.0,69.0,outsourcing / offshoring,frazier-butler,5130.0,5aad187dc929371,https://www.daugherty-farley.info/
netherlands antilles,fundamental stable info-mediaries,1976.0,70.0,military industry,newton inc,563.0,902d7ac8b6d476b,https://www.richmond-manning.info/
guernsey,diverse exuding installation,1982.0,71.0,wireless,duffy-levy,6146.0,32bb9ff4d939788,https://www.potter.com/
uruguay,reactive attitude-oriented toolset,1987.0,72.0,international affairs,wagner llc,6874.0,adcb0afbe58bae3,https://decker-esparza.com/
benin,object-based value-added database,2009.0,73.0,legal services,mccall-holmes,696.0,dfca1c84adb61ac,http://www.dean.com/
suriname,configurable zero administration graphical user interface,1986.0,74.0,accounting,massey llc,5004.0,208044ac2fe52f3,https://frazier.biz/
pakistan,quality-focused client-server graphical user interface,1970.0,75.0,computer software / engineering,hicks llc,8480.0,f3c365f0c1a0623,http://alvarez.biz/
mongolia,de-engineered fault-tolerant challenge,2000.0,76.0,law enforcement,"cole, russell and avery",7012.0,ec5bdd3cbafab93,http://www.blankenship.com/
svalbard & jan mayen islands,user-centric modular customer loyalty,2012.0,77.0,financial services,cummings-rojas,7529.0,ddb19be7eeb56b4,https://simon-pearson.com/
togo,extended content-based methodology,1976.0,78.0,religious institutions,"beasley, greene and mahoney",869.0,dd6ca3d0bc3cafc,http://www.petersen-lawrence.com/
latvia,secured zero tolerance hub,1972.0,79.0,facilities services,"beasley, sims and allison",6182.0,a0b9d56e61070e3,http://burke.info/
cuba,persevering exuding budgetary management,1999.0,80.0,online publishing,crawford-rivera,7805.0,cba7efe5d05adaf,https://black-ramirez.org/
liechtenstein,multi-tiered secondary productivity,2009.0,81.0,printing,montes-hensley,8433.0,ea3f6d52ec73563,https://krueger.org/
djibouti,streamlined 6thgeneration function,2002.0,82.0,alternative dispute resolution,velazquez-odom,4044.0,bc0ced48a8000e0,https://stokes.com/
micronesia,customer-focused explicit frame,1990.0,83.0,capital markets / hedge fund / private equity,eaton-morales,7013.0,c89b9b59bc4baa1,https://www.reeves-graham.com/
cameroon,adaptive bi-directional hierarchy,1993.0,84.0,telecommunications,"roberson, pennington and palmer",5571.0,fec51bce8421a7b,http://www.keith-fisher.com/
sweden,centralized non-volatile capability,1989.0,85.0,military industry,"george, russo and guerra",2880.0,e0e8e27eac9cad5,https://drake.com/
cocos (keeling) islands,profit-focused dedicated frame,2017.0,86.0,consumer electronics,davila inc,2215.0,b97a6cf9bf5983c,https://mcconnell.info/
mali,user-centric heuristic focus group,2006.0,87.0,military industry,mays-preston,5786.0,a0a6f9b3dbcbeb5,http://www.browning-key.com/
united states virgin islands,grass-roots methodical info-mediaries,1991.0,88.0,printing,pineda-morton,6168.0,8cc1bda330a5871,https://www.carr.com/
eritrea,re-contextualized dynamic hierarchy,1981.0,89.0,semiconductors,huang and sons,7484.0,ed889cb2fe9cbd3,https://www.bolton.com/
burundi,grass-roots radical parallelism,1973.0,90.0,newspapers / journalism,gilbert-simon,1927.0,f4dc1417bc6cb8f,https://www.bradford.biz/
benin,multi-layered composite paradigm,1972.0,91.0,textiles,sampson-griffith,3881.0,7abc3c7eca03b34,http://hendricks.org/
gibraltar,organized empowering forecast,1996.0,92.0,civic / social organization,miles-dominguez,897.0,4e0719fbe38e0ab,http://www.turner.com/
el salvador,balanced multimedia knowledgebase,1978.0,93.0,facilities services,rowe and sons,8172.0,debdaaedfaed00a,https://www.simpson.org/
taiwan,persistent tertiary focus group,1999.0,94.0,transportation,"valenzuela, holmes and rowland",1483.0,61bdecfefd0cef5,https://www.dorsey.net/
zimbabwe,innovative background definition,1991.0,95.0,gambling / casinos,"best, wade and shepard",4873.0,4e91ed25f486110,https://zimmerman.com/
ethiopia,right-sized zero tolerance focus group,1975.0,96.0,photography,holmes group,2988.0,0a0bffbbbb8ec7c,https://mcdowell.org/
anguilla,reverse-engineered composite moratorium,1971.0,97.0,consumer services,good ltd,4292.0,ba6cd9dae2efd62,http://duffy.com/
falkland islands (malvinas),progressive modular hub,1991.0,98.0,broadcast media,clements-espinoza,236.0,e7df80c60abd7f9,http://www.flowers.net/
kyrgyz republic,user-friendly exuding migration,1993.0,99.0,education management,mendez inc,339.0,afc285dbe2fed24,https://www.burke.net/
togo,synergistic background access,2009.0,100.0,financial services,watkins-kaiser,2785.0,e9eb5a60cef8354,http://www.herring.com/
